# 源音频：P06-生理学本科教学及考研基础课 p06 细胞电1.m4a
# 时长：5671s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好,同学们,咱们上节课在这儿简单看了几个有关静息电位的概念,
[01:06:35] 麻烦不在这,
[01:06:36] 在上一期,
[01:06:37] 平衡电力,
[01:06:38] 怎么平衡的,
[01:06:39] 明明30倍浓度差还在,
[01:06:41] 假怎么就不白流了,
[01:06:42] 因为,
[01:06:43] 负90,
[01:06:44] 负95毫伏,
[01:06:45] 这个电场挡着不让假出去,
[01:06:47] 在负90或负95的毫伏,
[01:06:50] 这个情况下,
[01:06:51] 摸两侧30倍的浓度差,
[01:06:54] 依然存在,
[01:06:55] 但假就是流不动,
[01:06:56] 被电场挡住了,
[01:06:58] 所以这个时候,
[01:07:00] 你看这个实际的负70毫伏情况下,
[01:07:02] 摸电位如果负95就挡住假了,
[01:07:04] 现在这个负70挡不住,
[01:07:06] 假就还想往外跑,
[01:07:07] 所以还负一点,
[01:07:08] 是正的,
[01:07:09] 你发现了没有,
[01:07:10] 在这个地方,
[01:07:11] 算驱动力的时候,
[01:07:12] 正负是代表方向的,
[01:07:14] 正的,
[01:07:15] 代表还能继续往外跑,
[01:07:17] 负的,
[01:07:18] 代表往回走,
[01:07:19] 当然这个地方,
[01:07:20] 如果你觉得一下心情量大了,
[01:07:22] 就漏不住它,
[01:07:23] 不管它了,
[01:07:24] 你把这个地方解放,
[01:07:25] 你把这个地方划下来体会一下,
[01:07:27] 进行点心往下,
[01:07:28] 我算完之后,
[01:07:29] 为什么那浓度,
[01:07:30] 那的驱动力,
[01:07:31] 比假驱动力大,
[01:07:32] 因为那内流的时候,
[01:07:33] 不但浓度差,
[01:07:34] 往里边退,
[01:07:35] 电场也往里边退,
[01:07:36] 或往里边吸,
[01:07:37] 有两个动力,
[01:07:38] 而没有阻力,
[01:07:39] 而在负70毫伏情况下,
[01:07:41] 假的外流,
[01:07:42] 既有动力,
[01:07:43] 也有阻力,
[01:07:44] 互相抵消了,
[01:07:45] 所以假驱动力就消,
[01:07:47] 20毫伏,
[01:07:48] 那驱动力就大,
[01:07:49] 130毫伏,
[01:07:50] 其实听起来好多东西,
[01:07:52] 是你反复的在读,
[01:07:54] 突然,
[01:07:55] 突然明白的,
[01:07:56] 所以我一直想,
[01:07:57] 我学生明白,
[01:07:58] 学习时候要找那个东西,
[01:07:59] 叫Ahamant,
[01:08:01] 顿悟时刻,
[01:08:02] 搁着不动它,
[01:08:03] 往下读文字,
[01:08:04] 在进系列位的条件下,
[01:08:06] 那离子受到的内向驱动力很大,
[01:08:09] 这个时候,
[01:08:10] 驱动力很大很大,
[01:08:11] 憋着早就想进去了,
[01:08:12] 一旦膜对那通通性增大的时候,
[01:08:15] 将出现很强的,
[01:08:17] 引起区计化的内向电流,
[01:08:20] 所以傻姐可专门讲,
[01:08:21] 那就是,
[01:08:22] 外向内负,
[01:08:23] 哪家正电荷,
[01:08:24] 哪一内流,
[01:08:25] 把正电荷带进去,
[01:08:26] 把我们的负电荷给抵消了,
[01:08:28] 体会内向电流,
[01:08:29] 让膜去计化,
[01:08:31] 外向电流,
[01:08:32] 让膜负计化,
[01:08:33] 或超计化,
[01:08:34] 所以慢慢就体会,
[01:08:36] 为什么讲这些地方,
[01:08:37] 咱们非常谨慎,
[01:08:38] 把内向外向电流,
[01:08:40] 还打上了一个去计化,
[01:08:42] 和超计化的烙印,
[01:08:44] 在动机电源这一节,
[01:08:46] 慢慢的,
[01:08:47] 又把去计化,
[01:08:48] 更接近膜的预点位,
[01:08:52] 两者之间联系,
[01:08:53] 就打了一个烙印,
[01:08:54] 说膜去计化的时候,
[01:08:56] 兴奋性就增高,
[01:08:58] 超计化的时候,
[01:08:59] 兴奋性就降低,
[01:09:00] 时间久了说,
[01:09:01] 去计化兴奋,
[01:09:02] 超计化抑制,
[01:09:03] 去计化兴奋,
[01:09:04] 超计化抑制,
[01:09:05] 我们这个学习就是,
[01:09:06] 不断不断不断脑子里边打烙印,
[01:09:08] 直到学到感觉胜率,
[01:09:10] 诶,
[01:09:11] 视感细胞接触光线照射,
[01:09:13] 是超计化兴奋的,
[01:09:14] 哦,
[01:09:15] 这叫做,
[01:09:16] 凡事都有例外,
[01:09:18] 学习不能急,
[01:09:19] 不是一蹴而就,
[01:09:21] 下班还走,
[01:09:23] 好多夫,
[01:09:24] 不求圣经,
[01:09:25] 往前走,
[01:09:26] 学的多了,
[01:09:27] 自然就懂了,
[01:09:28] 嗯,
[01:09:29] 翻过去啊,
[01:09:30] 刚才讲了一下驱动力的问题,
[01:09:31] 刚才文字上描述,
[01:09:32] 那的驱动力很大,
[01:09:33] 早就憋了很久了,
[01:09:34] 这个时候一旦有通透性,
[01:09:35] 哗,
[01:09:36] 就内溜,
[01:09:37] 那么第二个东西专门研究一下,
[01:09:39] 动作电力过程中,
[01:09:40] 膜对离子通透性的变化,
[01:09:42] 在这一节里边啊,
[01:09:44] 咱们把这个通透性,
[01:09:45] 改了个名字,
[01:09:47] 叫膜电导,
[01:09:48] 你翻译成这个,
[01:09:49] 听懂的意思就是,
[01:09:50] 膜对带电离子的导通性呢,
[01:09:53] 是电阻的倒数,
[01:09:55] 电阻越大,
[01:09:57] 电流就越不流呗,
[01:09:59] 那么电阻越小,
[01:10:00] 电流就越流,
[01:10:01] 所以膜电导,
[01:10:02] 等于电阻分之一,
[01:10:04] 电阻大,
[01:10:05] 电导小,
[01:10:06] 电导大,
[01:10:07] 电阻小,
[01:10:08] 它是这样,
[01:10:09] 嗯,
[01:10:10] 先搁这儿吧,
[01:10:11] 就概念读下去,
[01:10:12] 说说电导是什么味道,
[01:10:13] 电导就是膜,
[01:10:14] 对某一种带电离子的导通性呢,
[01:10:16] 具体说,
[01:10:17] 就是这种离子通道开放不,
[01:10:19] 我不知道现在你连续,
[01:10:20] 连续起来了,
[01:10:21] 第一节学的通道异化扩散,
[01:10:24] 就是给第三节做预热的,
[01:10:27] 对了,
[01:10:28] 动作电位期间,
[01:10:29] 膜电导的这个变化,
[01:10:31] 膜对这个粒子通透不通透,
[01:10:33] 是利用电压前置技术,
[01:10:35] volted clamp,
[01:10:36] 这个技术来测定的,
[01:10:37] 它的基本原理是欧姆定律,
[01:10:41] 就是用仪器啊,
[01:10:43] 把膜电位固定,
[01:10:44] 就前置,
[01:10:45] 在某个条件下,
[01:10:46] 测定膜的电流,
[01:10:47] 电流电压和电阻呗,
[01:10:49] 并利用电流值和前置的电力,
[01:10:50] 并利用电流值和前置的电力,
[01:10:51] 那就是算出来膜电,
[01:10:52] 膜电导,
[01:10:53] 电导等于电压除电流,
[01:10:55] 对了,
[01:10:56] 初中学过,
[01:10:57] 因此,
[01:10:58] 记录的膜的电流变化,
[01:10:59] 就相当于膜电导的变化,
[01:11:01] 嗯,
[01:11:02] 把这个电导称为,
[01:11:03] G-NAR,
[01:11:04] G-CAM,
[01:11:05] 这个东西,
[01:11:06] 先听下来,
[01:11:07] 是文字听懂了再说,
[01:11:08] 咱们看事实,
[01:11:09] 一会就看懂了,
[01:11:10] 这个图,
[01:11:13] 教材就从来没有变过,
[01:11:14] 这也是我们实验室在做科研的时候,
[01:11:17] 弄到的一个记录图,
[01:11:19] 嗯,
[01:11:20] 这图上你能看到,
[01:11:21] 我们在上方,
[01:11:22] 这儿给它今天开始讲实验了,
[01:11:24] 实验技术啊,
[01:11:25] 膜电位首先用仪器把它钳制在-65毫伏,
[01:11:30] 然后给它打一个刺激,
[01:11:32] 把膜电位打到-9毫伏,
[01:11:33] 这老师为什么不从-65打到0啊,
[01:11:35] 这实验室一个实验的条件,
[01:11:37] 每个实验室设置不一样,
[01:11:39] 其实你把它设置成-70到0也没毛病,
[01:11:41] 这正好实验室设计的时候,
[01:11:43] 在这一段电流好记录就这样设置了,
[01:11:46] 这是点心一个,
[01:11:47] 方波刺激,
[01:11:48] 给予一个刺激以后,
[01:11:50] 刺激的强度,
[01:11:51] 对吧,
[01:11:52] 不伴随着时间延续发生大小改变,
[01:11:56] 它是稳定的,
[01:11:57] 那么给了一个持续的一个刺激,
[01:12:00] 持续大概是一多长,
[01:12:01] 下面能看见,
[01:12:02] 012345,
[01:12:03] 单位是毫秒,
[01:12:04] 刚才说过,
[01:12:05] 恒周总是时间周,
[01:12:06] 我们一般给它一个5毫秒的,
[01:12:09] 这差不多是不到60毫伏,
[01:12:11] 50多个毫伏的,
[01:12:12] 56个毫伏的一个,
[01:12:13] 方波刺激,
[01:12:14] 持续5毫秒,
[01:12:15] 刺激完之后,
[01:12:16] 我们拿机器记录一下,
[01:12:18] 这台设备记录一下,
[01:12:20] 膜上有电位变化,
[01:12:21] 到这儿,
[01:12:22] 就出了一个东西注意,
[01:12:23] 在电胜利过程中,
[01:12:25] 纵周的0是有意义的,
[01:12:28] 它不但描述一个电流的大小,
[01:12:31] 你肯定举的0越远,
[01:12:33] 说明电流越大,
[01:12:34] 这是一个,
[01:12:35] 第二个一定要注意,
[01:12:36] 0这还有另一个意义,
[01:12:37] 0的上方是外向电流,
[01:12:41] 下方是内向电流,
[01:12:43] 我怎么理解老师,
[01:12:44] 你在实验室中,
[01:12:46] 记录到内向的时候,
[01:12:47] 往0的下方画,
[01:12:49] 记录到外向电流的时候,
[01:12:51] 往0的上方画,
[01:12:52] 你看我们在这儿,
[01:12:53] 在实验室老记录的时候,
[01:12:54] 哪个交换电流,
[01:12:55] 电流是这个样子,
[01:12:56] 我拿手比划一下,
[01:12:57] 这个样子,
[01:12:58] 先外向后内向,
[01:13:00] 嗯,
[01:13:01] 哪盖交换第一节解答题,
[01:13:02] 我想3个那两个盖,
[01:13:03] 你先外向的话,
[01:13:04] 就肯定是,
[01:13:05] 那出盖进,
[01:13:07] 后内向就是那进盖出,
[01:13:10] 哎,
[01:13:11] 它是这样,
[01:13:12] 反向前向,
[01:13:13] 反向前向,
[01:13:14] 这样就,
[01:13:15] 不管它了,
[01:13:16] 就一定要注意,
[01:13:17] 0这儿是有意义的,
[01:13:18] 0的上方是外向的,
[01:13:19] 0的下方内向,
[01:13:20] 那么这样往下看,
[01:13:21] 这是B图,
[01:13:22] C图就看到,
[01:13:23] 怎么样,
[01:13:24] 只有外向电流,
[01:13:25] 地图只看到,
[01:13:26] 内向电流,
[01:13:27] 你注意啊,
[01:13:28] 这一看09,
[01:13:29] 哎,
[01:13:30] C里边怎么没有那下电流呀,
[01:13:31] 这样就,
[01:13:32] 去哪里了,
[01:13:33] 再一看,
[01:13:34] 哦,
[01:13:35] 加了个药,
[01:13:36] TTX,
[01:13:37] 这一节课就学了个新药,
[01:13:38] 合同毒素,
[01:13:39] 所以就说,
[01:13:40] 日文的文化中有一个内容,
[01:13:41] 冒死吃合同,
[01:13:42] 死我也得吃口合同鱼,
[01:13:44] 据说很鲜美,
[01:13:45] 这玩意我没吃过,
[01:13:46] 据说鱼太大不能吃,
[01:13:47] 超过8两,
[01:13:48] 这个合同鱼的毒素,
[01:13:50] 主要存在于鱼的肝脏,
[01:13:51] 但是他们说,
[01:13:52] 这个合同鱼的肝脏也特别鲜美,
[01:13:54] 所以不要命,
[01:13:55] 你就尝一块,
[01:13:56] 因此有时候看了个小说,
[01:13:57] 我也读一点这个非官方的啊,
[01:14:00] 说在日本鱼中职业特别赚钱,
[01:14:02] 就是做合同鱼的大厨,
[01:14:04] 他们这个合同鱼断海之后,
[01:14:06] 鱼生,
[01:14:07] 他拿筷子,
[01:14:08] 公用筷子打上去,
[01:14:09] 不能混战,
[01:14:10] 他加一片鱼肝,
[01:14:11] 合同鱼肝,
[01:14:12] 喊得嘴里吃完之后咽了,
[01:14:13] 站一会儿,
[01:14:14] 他没死,
[01:14:16] 证明这个鱼能吃,
[01:14:18] 国内这两年,
[01:14:19] 慢慢有很多人吃合同鱼啊,
[01:14:21] 吃的有中毒死亡的个例啊,
[01:14:23] 每年都不少,
[01:14:24] 所以这合同鱼好吃,
[01:14:26] 注意,
[01:14:27] 不敢自己做,
[01:14:28] 一定要到大饭店,
[01:14:29] 让专业厨师做,
[01:14:30] 这真能死人呗,
[01:14:31] 嗯,
[01:14:32] 合同鱼吃完之后毒素,
[01:14:34] 为啥把人毒死了,
[01:14:35] TTX合同毒素,
[01:14:36] 是咱们的生理圈号用的一个工具一样,
[01:14:39] 使我们细胞膜上,
[01:14:41] 钠通道的阻断剂,
[01:14:43] 把钠通道阻断了,
[01:14:45] 这一剂合学动作,
[01:14:46] 你还记得刚才说,
[01:14:47] 区域化是钠铁流区域化的,
[01:14:49] 你阻断它以后,
[01:14:50] 膜就不产生动作点微了,
[01:14:54] 给刺激就没反应了,
[01:14:56] 特别是神经细胞,
[01:14:58] 到循环第四章,
[01:14:59] 你会教材有时候强调,
[01:15:01] 心肌细胞对于TTX不太敏感,
[01:15:04] 不敏感不是不反应啊,
[01:15:05] 心肌细胞对TTX有敏感性,
[01:15:07] 只有神经细胞对TTX敏感性的十分之一,
[01:15:11] 所以吃合同鱼吃的中毒了,
[01:15:13] 胁毒谁,
[01:15:14] 胁毒神经,
[01:15:15] 后毒心脏,
[01:15:16] 他们说吃完之后,
[01:15:17] 我第一次看网上,
[01:15:19] 网上不是这样,
[01:15:20] 我是瞎说啊,
[01:15:21] 这个如有雷同,
[01:15:22] 充实虚构,
[01:15:23] 说吃完之后手脚麻麻的,
[01:15:24] 嘴唇也麻麻的,
[01:15:25] 说不了话,
[01:15:26] 对了,
[01:15:27] 周围声音弄堵了,
[01:15:28] 据他们说出是中点毒,
[01:15:29] 刚好舒服呀,
[01:15:30] 我觉得不要拿声音开玩笑,
[01:15:32] 这要先听听TTX,
[01:15:34] 同学们,
[01:15:35] 在实验中,
[01:15:36] 我一家TTX实验室中,
[01:15:38] 只能记得到外向电流,
[01:15:40] 而记得不到这个比特鲁班内下电流,
[01:15:42] 你想说什么不,
[01:15:43] 我阻挡那通道之后,
[01:15:46] 没有内向电流,
[01:15:47] 可见内向电流,
[01:15:48] 是那通道借导的那内流,
[01:15:52] 第一件还记得不,
[01:15:53] 通道的离子选择性,
[01:15:55] 离子选择性,
[01:15:56] 那通道只让那内流,
[01:15:58] 假通道只让假外流,
[01:16:00] 阻挡那通道没有内向电流,
[01:16:02] 说明内向电流和那有关,
[01:16:05] 再早一点教材上也写,
[01:16:07] 实验室中有做,
[01:16:08] 既然那内流虚极化的,
[01:16:10] 我要把实验室里边,
[01:16:11] 细胞外部的那给它拿掉,
[01:16:14] 用葡萄糖来替代,
[01:16:16] 说为什么那就拿了就得了,
[01:16:17] 老师加糖干嘛,
[01:16:19] 你得保持细胞在等剩余体重,
[01:16:22] 要不细胞就破了,
[01:16:24] 所以拿掉等量的那,
[01:16:26] 换成等量糖,
[01:16:27] 就发现在实验室中,
[01:16:29] 膜外的那浓度越低,
[01:16:31] 膜内的那浓度它越小,
[01:16:33] 动作的幅度就越小,
[01:16:38] 可见,
[01:16:39] 虚极化是拿内流实现的,
[01:16:42] 诶,
[01:16:43] 实验就证明这么一东西,
[01:16:44] 开通学纠结说老师,
[01:16:46] 那就不内流就没虚极化,
[01:16:48] 怎么出来假外流的,
[01:16:49] 你注意啊,
[01:16:50] 这是实验室,
[01:16:52] 实验室中膜的虚极化,
[01:16:54] 不需要拿内流实现,
[01:16:56] 谁就实现了,
[01:16:59] 给它一个刺激啊,
[01:17:01] 还记得,
[01:17:02] 中盲部,
[01:17:03] 电压钳子几幅,
[01:17:04] 拿老虎钳子,
[01:17:05] 把你从-65毫米,
[01:17:06] 拧到-9毫米不就完了,
[01:17:08] 所以咱们平时拿内流,
[01:17:10] 是改变膜点位的,
[01:17:11] 这儿是,
[01:17:12] 不用拿内流,
[01:17:13] 我拿机器改变膜的点位,
[01:17:15] 可不可以,
[01:17:16] 可以啊,
[01:17:17] 但是点位的这一套机器,
[01:17:19] 就叫做Vaulted Clamp,
[01:17:21] 那还是相当比较贵的,
[01:17:23] 你普通的Audi Q7,
[01:17:24] 你是买不起这台设备的,
[01:17:26] 对了,
[01:17:27] 我们度月就升的时候,
[01:17:28] 一个月工资挤50来块钱,
[01:17:29] 一个月,
[01:17:30] 那会这么一套设备,
[01:17:31] 100多万,
[01:17:32] 那是相当的贵,
[01:17:33] 对了,
[01:17:34] 而且实验做起来以后呀,
[01:17:36] 耗材又很贵,
[01:17:37] 所以他说,
[01:17:38] 你想要膜点位多少就多少,
[01:17:39] 对啊,
[01:17:40] 为啥,
[01:17:41] 我机器贵啊,
[01:17:42] 我任性啊,
[01:17:44] 山西医科大学的生理教授,
[01:17:45] 莫威教授,
[01:17:46] 在国内应该是做电压钳的技术,
[01:17:48] 应该算最早了吧,
[01:17:49] 我记得那个时代,
[01:17:50] 还有华中科大的唐颖教授,
[01:17:52] 刚刚从德国回来,
[01:17:53] 那会还很年轻,
[01:17:54] 唐教授很年轻漂亮,
[01:17:56] 现在一拽了唐教授,
[01:17:57] 我问吴老师,
[01:17:58] 唐教授也退休了,
[01:17:59] 所以偶尔和唐教授,
[01:18:01] 还抽一个风向人家一个20码,
[01:18:03] 多少年没见过唐教授了,
[01:18:04] 这是中国电视医学,
[01:18:06] 应该说进入这个领域和行业,
[01:18:08] 很早的一批老的教授和管家,
[01:18:11] 突然想起了青春时代了,
[01:18:13] 不管他了,
[01:18:14] 这是C,
[01:18:15] 地图咱们换个要,
[01:18:17] 换一个T以A,
[01:18:18] 4以N,
[01:18:19] 4以N是实验室工常用的,
[01:18:21] 非选择性的假通道解抗器,
[01:18:24] 结果你发现,
[01:18:25] 你阻断假之后膜上就只有内向电流,
[01:18:28] 阻断那之后膜上就只有外向电流,
[01:18:31] 可见,
[01:18:32] 动作电位,
[01:18:33] 内向外向电流,
[01:18:35] 区计划,
[01:18:36] 负计划,
[01:18:37] 内向是拿内流,
[01:18:38] 外向是假外流,
[01:18:39] 如果外向不是假外流,
[01:18:40] 那怎么办呢,
[01:18:41] 我阻断假,
[01:18:42] 你怎么就不见了,
[01:18:45] 实验室的观察,
[01:18:48] 但注意,
[01:18:49] 这个只是咱们一个合理推导,
[01:18:52] 我阻断那之后不内流,
[01:18:54] 阻断假之后不外流,
[01:18:55] 可见应该是那或假,
[01:18:57] 但是你说万一那或假,
[01:18:58] 我借借一下怎么干,
[01:18:59] 所以是要注意电压切据技术,
[01:19:01] 其实还是一个见解证据,
[01:19:03] 它不是直接的,
[01:19:04] 你要改变膜的那呀,
[01:19:06] 改变膜内假呀,
[01:19:07] 它这个变化,
[01:19:08] 嗯,
[01:19:09] 都还不算数,
[01:19:10] 因此后面呀,
[01:19:11] 有人就把这个实验哈基莫,
[01:19:13] 这个实验哈基莫,
[01:19:14] 往前推了一下,
[01:19:15] 就不是电压切据技术,
[01:19:17] 就是什么呀,
[01:19:18] 我们叫膜片切,
[01:19:19] 取一片细胞膜,
[01:19:21] 叫patch clamp,
[01:19:24] 一小片,
[01:19:25] 这个电极如果足够小的话,
[01:19:27] 从膜上吸一小块下来,
[01:19:29] 里边可能就只有一两个通道,
[01:19:31] 我来观察通道,
[01:19:32] 对了,
[01:19:33] 最后发现膜上通道,
[01:19:35] 确实是电压膜通道,
[01:19:37] 先不管它了,
[01:19:38] 刚才上面这个图呀,
[01:19:39] 电压切据技术看了一下,
[01:19:40] 那内流虚极化,
[01:19:42] 假微流负极化,
[01:19:43] 做到那,
[01:19:44] 就不内流了,
[01:19:45] 阻断响,
[01:19:46] 就不外流了,
[01:19:47] 接着往下走,
[01:19:48] 实验使用同时测了一下,
[01:19:49] 我们这个实验一档故事听,
[01:19:51] 这比较难了,
[01:19:52] 只是说说是也不太容易听懂,
[01:19:54] 刚才那个是给一个方波刺激,
[01:19:56] 这个叫阶级的台阶的阶,
[01:20:00] 跳跃的跃,
[01:20:02] 阶跃式刺激,
[01:20:03] 什么意思呀,
[01:20:04] 我给机器设置好一套人机对话的程序,
[01:20:07] 讨论好讨论好,
[01:20:08] 设计好以后呀,
[01:20:09] 机器是啪啪啪连续给刺激,
[01:20:11] 刺激怎么给的,
[01:20:12] 你看一下,
[01:20:13] 我用点牙钳,
[01:20:14] Motor Clamp,
[01:20:15] 把摩爹尾钳制在F60毫估不要动,
[01:20:18] 然后让它连续刺激,
[01:20:19] 第一次,
[01:20:20] 从F60把摩爹尾刺激到F40,
[01:20:24] 咔,
[01:20:25] 五个毫秒结束,
[01:20:26] 接着机器不用你管,
[01:20:27] 你设置好了,
[01:20:28] 第二次,
[01:20:29] F60到F20,
[01:20:30] 咔,
[01:20:31] 又是一圈,
[01:20:32] 回来,
[01:20:33] 咔,
[01:20:34] 又是一圈,
[01:20:35] 说老师为啥必须要每回要回来,
[01:20:36] 一会就讲到了,
[01:20:37] 你必须把摩刺激完之后,
[01:20:38] 把摩爹尾回来,
[01:20:39] 不回来,
[01:20:40] 那通道失火着,
[01:20:42] 复活不了,
[01:20:43] 你还记得刚才被动的一个特征不,
[01:20:46] 为什么是脉冲式发生,
[01:20:48] 不能重叠的,
[01:20:49] 因为通道失火之后,
[01:20:51] 必须复活,
[01:20:53] 才能第二次开放,
[01:20:54] 所以实验室设置,
[01:20:56] 刺激的时候,
[01:20:57] 去计划一次,
[01:20:58] 结束,
[01:20:59] 再去计划一次,
[01:21:00] 结束,
[01:21:01] 再去计划,
[01:21:02] 结束,
[01:21:04] 这咱们给了这么四次刺激,
[01:21:06] 第一次是从F60到F40,
[01:21:08] 二次是毫估刺激,
[01:21:09] 第二次F60到F20,
[01:21:10] 四次是毫估,
[01:21:11] 第三次F60到0,
[01:21:13] 六次毫估,
[01:21:14] 第一次F60,
[01:21:15] 到正二次,
[01:21:16] 八次毫估,
[01:21:17] 结果你发现,
[01:21:18] 这是F40这一次,
[01:21:19] 这一次,
[01:21:20] 这是F20这一次,
[01:21:21] 这是0,
[01:21:22] 这是正二次,
[01:21:23] 你发现了没有,
[01:21:24] 这是基纳摩对钠粒子的通透性,
[01:21:26] 我们结果,
[01:21:27] 通过这种结尾式的刺激发现,
[01:21:29] 你给细胞膜的刺激强度越大,
[01:21:31] 摩对钠的通透性就越大,
[01:21:34] 哎,
[01:21:35] 我给细胞膜不同强度刺激,
[01:21:37] 摩对钠通透性大小怎么还会变化,
[01:21:39] 哎,
[01:21:40] 因为摩的内流,
[01:21:41] 你还记得不,
[01:21:42] 是电压门控的钠通道,
[01:21:45] 你给细胞的电压刺激,
[01:21:47] 电压强度越大,
[01:21:49] 那么因为通道就听电压的,
[01:21:51] 电压强度大,
[01:21:53] 响应的通道数量就多,
[01:21:56] 这里边看一个事实啊,
[01:21:58] 摩上可不是一个钠通道,
[01:22:00] 成千上万,
[01:22:02] 一亩生九子,
[01:22:03] 九子各不同,
[01:22:04] 十个指头不一般齐,
[01:22:06] 有人在摩电位置,
[01:22:07] 七十毫估计,
[01:22:08] 摩对就开放了,
[01:22:09] 有人附五十,
[01:22:10] 有人裂皮厚点,
[01:22:11] 到正二十都不在理你,
[01:22:12] 这三个再说,
[01:22:13] 这四个再说,
[01:22:14] 所以不同的通道,
[01:22:16] 对于不同的电位,
[01:22:18] 敏感性不一样,
[01:22:19] 那你肯定,
[01:22:20] 你给刺激强度越大,
[01:22:21] 把摩电位从附六十变,
[01:22:23] 变到正二十去,
[01:22:24] 差不多所有通道都顶顺性了,
[01:22:26] 通透性就大,
[01:22:28] 摩上开放的通道数量越多,
[01:22:31] 摩对粒子通透性就越大,
[01:22:34] 其实这个实验,
[01:22:36] 这个派制,
[01:22:37] 这个时候才看,
[01:22:38] 就反映了这么一个事实,
[01:22:40] 而且你给予这个不同强度刺激的时候,
[01:22:43] 摩不但对那通透性改变了,
[01:22:45] 对甲也改变了,
[01:22:46] 这个东西就疑惑了,
[01:22:47] 我说你别说甲是甲路通道呀,
[01:22:49] 甲路通道是细胞摩上一个背景甲的外灵,
[01:22:53] 要注意,
[01:22:54] 你学到循环系统细胞,
[01:22:56] 这心脏内脏就终于发现,
[01:22:57] 什么这个ATU敏感甲通道呀,
[01:23:01] ASH敏感甲通道呀,
[01:23:03] IK呀,
[01:23:04] ITO呀,
[01:23:05] IK1呀,
[01:23:06] RKR呀,
[01:23:07] RKR呀,
[01:23:08] IKS呀,
[01:23:09] 各种各样,
[01:23:10] 这细胞摩上甲通道是成千少万种亚型之多,
[01:23:15] 实验室中给予不同强度的刺激,
[01:23:18] 摩对甲通道性也会改变,
[01:23:20] 甲路通道还会开放,
[01:23:22] 不是甲路,
[01:23:23] 摩上出甲路之后,
[01:23:25] 在神经细胞中,
[01:23:26] 我随便说一个,
[01:23:27] 比如BK,
[01:23:29] 盖离子敏感甲通道,
[01:23:32] 可能给刺激它开放了,
[01:23:34] 对了,
[01:23:35] 摩上不但有甲路通道,
[01:23:37] 还有各种各样的various,
[01:23:39] 不同的甲通道,
[01:23:42] 刺激强度改变,
[01:23:45] 刺激不但能改变摩对那的通透性,
[01:23:48] 刺激也改变摩对甲的通透性,
[01:23:52] 但是恒周是时间轴,
[01:23:54] 你目测一下,
[01:23:55] 接受刺激以后,
[01:23:56] 摩首先对那的通透性改变,
[01:23:59] 变化快,
[01:24:00] 对甲通透性变化,
[01:24:02] 变化慢,
[01:24:03] 但是那的变化快,
[01:24:05] 失去时间短,
[01:24:06] 甲的通透性增大,
[01:24:08] 变得慢,
[01:24:09] 但是,
[01:24:10] 失去时间长,
[01:24:12] 在实验室工作,
[01:24:13] 有时候这个失去时间,
[01:24:14] 足足长达数千个毫秒之久,
[01:24:17] 五千毫秒,
[01:24:18] 这个地方只是写了五个毫秒而已,
[01:24:20] 它慢慢往后期摔下去,
[01:24:23] 所以这个刺激的节约是刺激,
[01:24:25] 如果你有兴趣,
[01:24:26] 觉得好玩,
[01:24:27] 你听就听了,
[01:24:28] 也觉得它麻烦,
[01:24:29] 不听也可以,
[01:24:30] 但是听一个结论,
[01:24:32] 给予不同强度刺激的时候,
[01:24:34] 摩对那和甲的通透性,
[01:24:36] 变化是不一样的,
[01:24:38] 一定反为内部,
[01:24:39] 刺激强度越大,
[01:24:41] 摩对那,
[01:24:42] 对甲通透性也越高,
[01:24:44] 原来细胞膜进气叠位的内附,
[01:24:47] 接受刺激后,
[01:24:48] 怎么突然就区域化那内流了,
[01:24:50] 是刺激通过打开膜上,
[01:24:52] 电压门孔的那通道,
[01:24:55] 产生那的快速内流,
[01:24:57] 而发生区域化的,
[01:24:59] 这是动作叠位的本质,
[01:25:01] 体会,
[01:25:02] 动作叠位也好,
[01:25:03] 进气叠位也好,
[01:25:04] 本质上,
[01:25:05] 不过是带电荷的离子,
[01:25:07] 通道,
[01:25:08] 移化,
[01:25:09] 扩散一下而已,
[01:25:11] 但离子通道开放,
[01:25:13] 离子浓度差,
[01:25:14] 才构成了跨膜转移的两个条件,
[01:25:18] 既得有通透性,
[01:25:20] 同时还得具备驱动力,
[01:25:22] 要没听懂的话,
[01:25:23] 回到刚才体会一下,
[01:25:25] 刚才,
[01:25:26] 在进气叠位情况下,
[01:25:27] 为什么甲开外流进气叠位,
[01:25:29] 那就不能内流区域化,
[01:25:30] 因为摩对甲通透,
[01:25:32] 对钠不通透,
[01:25:33] 对甲通透是因为甲的通道,
[01:25:35] 对钠不通透,
[01:25:36] 因为进气叠位情况下,
[01:25:37] 因为进气叠位情况下,
[01:25:38] 电压门空纳通道,
[01:25:40] 处于进气状态,
[01:25:42] 就没打开,
[01:25:43] 那么进气状态是个什么鬼,
[01:25:45] 实际上细胞内障就开始讲了,
[01:25:47] 在第一届就开始讲,
[01:25:49] 但是没有用,
[01:25:50] 为什么我强调说,
[01:25:51] 输到用时防衡少,
[01:25:53] 到这一届要用到进气备用,
[01:25:55] 开放什么激活之类的,
[01:25:56] 所以到这儿再讲,
[01:25:57] 你就头牙敞亮了,
[01:25:59] 在没有用的时候,
